Census,pop,power converted,actual power,census_lat,census_long,Socioeconomic,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,SVI,disadvantaged,d,Bus,Latitude,Longitude
48427950203,4861,11.68,12.71951793,26.4101338,-98.98702268,0.991,0.9897,0.9998,0.5801,0.9812,1,37,4073,26.208,-98.3992
48215024204,4666,11.21,12.20768801,26.20820568,-98.42666564,0.9793,0.9684,0.8883,0.437,0.9245,1,37,4073,26.208,-98.3992
48427950105,4533,10.89,11.85920807,26.40412369,-98.9144315,0.9743,0.6798,0.979,0.2565,0.8072,1,37,4073,26.208,-98.3992
48355002200,5763,13.85,14.48255224,27.74122627,-97.39684947,0.8133,0.5813,0.5365,0.2785,0.5929,1,38,4078,27.729894,-97.385247
48355002400,5725,13.75,14.37798507,27.72239312,-97.38420838,0.6319,0.6662,0.4269,0.1506,0.4428,1,38,4078,27.729894,-97.385247
48355001904,4585,11.02,11.52330149,27.74285246,-97.41374205,0.7991,0.9203,0.7035,0.7909,0.8806,1,38,4078,27.729894,-97.385247
48355002301,4414,10.6,11.0841194,27.72988457,-97.40279383,0.7549,0.6403,0.6054,0.1308,0.5284,1,38,4078,27.729894,-97.385247
48355002500,4340,10.43,10.90635522,27.73782796,-97.37744394,0.1173,0.3149,0.3024,0.774,0.3281,0,38,4078,27.729894,-97.385247
48355002603,3335,8.01,8.375829851,27.72381892,-97.36922449,0.6482,0.8918,0.5476,0.0606,0.4731,1,38,4078,27.729894,-97.385247
48355002601,2507,6.02,6.294943284,27.73219577,-97.36583109,0.2101,0.1184,0.316,0.2789,0.1738,0,38,4078,27.729894,-97.385247
48029170800,1539,3.7,3.868985075,29.43425359,-98.54779532,0.9463,0.8286,0.907,0.5348,0.8898,1,38,4078,27.729894,-97.385247
48355003303,1255,3.02,3.157928358,27.7064527,-97.38010544,0.8167,0.3446,0.4837,0.3932,0.572,1,38,4078,27.729894,-97.385247
48215024201,15877,38.14,40.87421019,26.36183269,-98.46981416,0.9795,0.9119,0.9857,0.7431,0.9706,1,39,4079,26.318913,-98.370054
48215024114,9519,22.87,24.50952247,26.31093106,-98.38208434,0.9996,0.9071,0.9837,0.7443,0.9816,1,39,4079,26.318913,-98.370054
48215024109,7566,18.18,19.48330208,26.26896396,-98.32674763,0.9921,0.7638,0.9906,0.7926,0.9654,1,39,4079,26.318913,-98.370054
48215024113,6491,15.59,16.70762813,26.30497349,-98.33191231,0.9988,0.9789,0.9839,0.7477,0.9906,1,39,4079,26.318913,-98.370054
48215024108,5854,14.06,15.06794429,26.28111761,-98.39318099,0.859,0.8504,0.9457,0.5164,0.8577,1,39,4079,26.318913,-98.370054
48427950402,5259,12.63,13.53542933,26.40909634,-98.59866737,0.9921,0.8722,0.9916,0.2914,0.894,1,39,4079,26.318913,-98.370054
48427950204,5165,12.41,13.2996578,26.44387965,-98.95720437,0.9985,0.9872,0.9992,0.5933,0.9854,1,39,4079,26.318913,-98.370054
48427950104,4982,11.97,12.82811473,26.45394346,-98.88945185,0.7131,0.8004,0.9507,0.7731,0.8575,1,39,4079,26.318913,-98.370054
48427950108,3449,8.29,8.884300013,26.47562258,-98.77852625,0.8664,0.4846,0.955,0.6522,0.826,1,39,4079,26.318913,-98.370054
48479000300,2338,5.62,6.022890961,27.50418547,-99.49927359,0.995,0.8516,0.9964,0.9455,0.9939,1,39,4079,26.318913,-98.370054
48479000200,4343,10.43,19.869,27.50074057,-99.48688884,0.863,0.8422,0.9883,0.6198,0.898,1,40,4086,26.261363,-97.489015
48029181402,2715,6.52,2.082,29.51224677,-98.58031027,0.7684,0.2055,0.549,0.9497,0.7266,0,41,4087,27.695151,-97.269443
48505950400,6055,14.55,212.52,27.00244525,-99.16692672,0.977,0.9874,0.9441,0.6923,0.9789,1,42,4088,26.149684,-98.189714
48479001900,3370,8.1,8.604,27.50502918,-99.51643091,0.9902,0.9579,0.9723,0.9937,0.9996,1,43,4089,26.269683,-97.867012
48409010900,4844,11.64,9.456642742,28.02191417,-97.58198479,0.653,0.7974,0.5905,0.5365,0.6686,1,44,4099,27.962924,-97.679027
48029161200,2928,7.03,5.711357258,29.29903844,-98.60317966,0.7693,0.8977,0.7506,0.751,0.8556,1,44,4099,27.962924,-97.679027
